TimeStep,Time_s,TotalProbability,MeanPosition_nm,KineticEnergy_eV,PotentialEnergy_eV,TotalEnergy_eV,Reflection,Transmission,InteractionProbability,CentralWellProbability
0,0,1,0.996,59.3689182395836,-450.6,-391.231081760416,NaN,NaN,NaN,NaN
100,2.76415767589051e-18,1.00013340441336,1.00854579403732,57.514626823787,-448.798173542417,-391.28354671863,NaN,NaN,NaN,NaN
200,5.52831535178101e-18,1.00000763012851,1.02063590710041,55.6749522680691,-446.909192012045,-391.234239743976,NaN,NaN,NaN,NaN
300,8.29247302767152e-18,1.0001192490189,1.03276357077449,53.8793118498769,-445.157013795168,-391.277701945292,NaN,NaN,NaN,NaN
400,1.1056630703562e-17,1.00002634357154,1.04448497072467,52.1011259052581,-443.343060534224,-391.241934628966,NaN,NaN,NaN,NaN
500,1.38207883794525e-17,1.00009839200519,1.05617764754142,50.3632093586547,-441.632388071903,-391.269178713248,NaN,NaN,NaN,NaN
600,1.6584946055343e-17,1.00004695497402,1.06753871425405,48.6470823127434,-439.897365846305,-391.250283533562,NaN,NaN,NaN,NaN
700,1.93491037312335e-17,1.00007998125543,1.07879540551137,46.9668649344056,-438.228677926553,-391.261812992148,NaN,NaN,NaN,NaN
800,2.21132614071241e-17,1.00006189999822,1.08978976218741,45.312518013415,-436.568675670823,-391.256157657408,NaN,NaN,NaN,NaN
900,2.48774190830146e-17,1.00006900887178,1.10062100320537,43.6906407897179,-434.948254842265,-391.257614052547,NaN,NaN,NaN,NaN
1000,2.76415767589051e-17,1.00006905297758,1.1112352001757,42.0973763193373,-433.356151760194,-391.258775440857,NaN,NaN,NaN,NaN
1100,3.04057344347956e-17,1.00006506570983,1.1216540374496,40.5346366667201,-431.790933808458,-391.256297141738,NaN,NaN,NaN,NaN
1200,3.31698921106861e-17,1.00007061593683,1.13187598442612,39.0018169329654,-430.260971898182,-391.259154965217,NaN,NaN,NaN,NaN
1300,3.59340497865766e-17,1.00006504009718,1.14189152324722,37.4987993249435,-428.755295571226,-391.256496246283,NaN,NaN,NaN,NaN
1400,3.86982074624671e-17,1.00006981954717,1.15171432332238,36.0260696992926,-427.284743229948,-391.258673530656,NaN,NaN,NaN,NaN
1500,4.14623651383576e-17,1.00006613685671,1.16133043800375,34.5830653623402,-425.840116413462,-391.257051051122,NaN,NaN,NaN,NaN
1600,4.42265228142481e-17,1.00006874603147,1.17075170564849,33.1703232743335,-424.428491771609,-391.258168497276,NaN,NaN,NaN,NaN
1700,4.69906804901386e-17,1.00006702694322,1.17996890466026,31.7874288262439,-423.044880466893,-391.257451640649,NaN,NaN,NaN,NaN
1800,4.97548381660291e-17,1.00006808629343,1.18898847239988,30.4346994684369,-421.692580916074,-391.257881447637,NaN,NaN,NaN,NaN
1900,5.25189958419196e-17,1.00006747430856,1.19780605710882,29.1119354767123,-420.369576018814,-391.257640542101,NaN,NaN,NaN,NaN
2000,5.52831535178101e-17,1.00006780565293,1.20642426788411,27.8192768046401,-419.077043209141,-391.257766404501,NaN,NaN,NaN,NaN
2100,5.80473111937006e-17,1.00006763792388,1.21484149186718,26.5566534675337,-417.814358974248,-391.257705506714,NaN,NaN,NaN,NaN
2200,6.08114688695911e-17,1.0000677172023,1.22305853588196,25.3241173563107,-416.581849939089,-391.257732582779,NaN,NaN,NaN,NaN
2300,6.35756265454816e-17,1.00006768150057,1.23107489713912,24.1216530281505,-415.379374329472,-391.257721301322,NaN,NaN,NaN,NaN
2400,6.63397842213721e-17,1.00006769871633,1.23889075203396,22.9492797797864,-414.207006424705,-391.257726644919,NaN,NaN,NaN,NaN
2500,6.91039418972627e-17,1.00006768777154,1.24650593813437,21.8069995372248,-413.06472194277,-391.257722405546,NaN,NaN,NaN,NaN
2600,7.18680995731532e-17,1.00006769376423,1.25392045383451,20.694822014641,-411.95254818336,-391.257726168719,NaN,NaN,NaN,NaN
2700,7.46322572490437e-17,1.00006770540984,1.26113427876666,19.6127532459688,-410.870481430904,-391.257728184935,NaN,NaN,NaN,NaN
2800,7.73964149249342e-17,1.00006764396292,1.26814720103761,18.5608004635052,-409.818506222109,-391.257705758604,NaN,NaN,NaN,NaN
2900,8.01605726008247e-17,1.00006780561402,1.2749595936232,17.5389703703465,-408.796744324934,-391.257773954587,NaN,NaN,NaN,NaN
3000,8.29247302767152e-17,1.00006750167125,1.28157066079121,16.5472690453047,-407.80490188407,-391.257632838766,NaN,NaN,NaN,NaN
3100,8.56888879526057e-17,1.00006790388415,1.28798129937942,15.5857036923143,-406.84354742358,-391.257843731265,NaN,NaN,NaN,NaN
3200,8.84530456284962e-17,1.00006768043845,1.29419110865187,14.6542790160982,-405.911941965287,-391.257662949188,NaN,NaN,NaN,NaN
3300,9.12172033043867e-17,1.00006702343211,1.3001979337542,13.7530022841333,-405.010523996136,-391.257521712002,NaN,NaN,NaN,NaN
3400,9.39813609802772e-17,1.0000698092707,1.30600972147446,12.8818795729428,-404.140427341254,-391.258547768311,NaN,NaN,NaN,NaN
3500,9.67455186561677e-17,1.00006328561046,1.31160810159409,12.0409109519965,-403.296756127161,-391.255845175164,NaN,NaN,NaN,NaN
3600,9.95096763320582e-17,1.00007468870989,1.31702513634183,11.2301174778497,-402.491042774657,-391.260925296807,NaN,NaN,NaN,NaN
3700,1.02273834007949e-16,1.00005948329783,1.32221742486806,10.4494726947196,-401.703076248489,-391.253603553769,NaN,NaN,NaN,NaN
3800,1.05037991683839e-16,1.00007257442765,1.32722337783387,9.69903124512823,-400.960037981508,-391.26100673638,NaN,NaN,NaN,NaN
3900,1.0780214935973e-16,1.0000751087787,1.33204850316587,8.97873780377279,-400.237789792337,-391.259051988564,NaN,NaN,NaN,NaN
4000,1.1056630703562e-16,1.00003458522866,1.33657505062713,8.28864062054495,-399.53449354313,-391.245852922585,NaN,NaN,NaN,NaN
4100,1.13330464711511e-16,1.00014172552273,1.34112647083383,7.6287700115173,-398.916064688565,-391.287294677048,NaN,NaN,NaN,NaN
4200,1.16094622387401e-16,0.999941803012588,1.34507673175018,6.9989522756028,-398.203572045026,-391.204619769423,NaN,NaN,NaN,NaN
4300,1.18858780063292e-16,1.00024244447003,1.34940754622995,6.39961978683524,-397.734334747527,-391.334714960691,NaN,NaN,NaN,NaN
4400,1.21622937739182e-16,0.999872245784316,1.3528419782727,5.83001019849731,-396.997050729685,-391.167040531188,NaN,NaN,NaN,NaN
4500,1.24387095415073e-16,1.00022137396825,1.35669685959926,5.29125480645737,-396.628295441063,-391.337040634606,NaN,NaN,NaN,NaN
4600,1.27151253090963e-16,1.00005459296819,1.36013120137294,4.78196374100902,-396.013075574973,-391.231111833964,NaN,NaN,NaN,NaN
4700,1.29915410766854e-16,0.999814487636506,1.36271715971449,4.30352168839458,-395.481118624731,-391.177596936336,NaN,NaN,NaN,NaN
4800,1.32679568442744e-16,1.00071695952793,1.3671554383287,3.85504180868304,-395.356859967454,-391.501818158771,NaN,NaN,NaN,NaN
4900,1.35443726118635e-16,0.998922530082615,1.36742303360902,3.4362558910067,-394.240063008215,-390.803807117209,NaN,NaN,NaN,NaN
5000,1.38207883794525e-16,1.00174058711281,1.37370431466172,3.04936187318632,-394.988705068431,-391.939343195245,NaN,NaN,NaN,NaN
5100,1.40972041470416e-16,0.997935179884135,1.3713259366766,2.68951770759165,-393.062217428991,-390.372699721399,NaN,NaN,NaN,NaN
