Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0,0,0,0,-600
0.004,0.13437124152421,-0.026782482535074,0.0187729319194992,-599.4
0.008,0.263777695584433,-0.0566679089917845,0.072789924597335,-598.8
0.012,0.383466606405195,-0.0924700406246102,0.155597346641034,-598.2
0.016,0.488870073589528,-0.136540189588239,0.257637172224223,-597.6
0.02,0.575605121061264,-0.190591742710686,0.367646467781449,-597
0.024,0.639645135892499,-0.255456538679866,0.474403943025232,-596.4
0.028,0.677458523248644,-0.330935049761955,0.56846805788318,-595.8
0.032,0.686013542692988,-0.415778943020757,0.643486710217642,-595.2
0.036,0.662860951988227,-0.507660441949499,0.697103765991099,-594.6
0.04,0.606353453095955,-0.603136367505665,0.731437987889317,-594
0.044,0.515793266471469,-0.69773681209218,0.752879352685865,-593.4
0.048,0.391484012430682,-0.786145470771018,0.771284433202612,-592.8
0.052,0.234862121530975,-0.862372392148299,0.79884635886961,-592.2
0.056,0.0486736697060184,-0.919957251986249,0.848690471604742,-591.6
0.06,-0.162961317490478,-0.952256160634364,0.933348186464332,-591
0.064,-0.394546543045265,-0.952770050082599,1.06343774296337,-590.4
0.068,-0.639179725321346,-0.915481232182373,1.24665660774003,-589.8
0.072,-0.888590221526252,-0.835196876275588,1.48714640393257,-589.2
0.076,-1.13329373415202,-0.707887369864462,1.78545921628185,-588.6
0.08,-1.36277545298305,-0.531033750551798,2.13915377947826,-588
0.084,-1.56572205864336,-0.30397913486869,2.54388887935792,-587.4
0.088,-1.73038593473999,-0.0282027050593062,2.99503087571867,-586.8
0.092,-1.84500538945501,0.292498455843819,3.48960023378907,-586.2
0.096,-1.89821625260828,0.651834094247657,4.02811262808987,-585.6
0.1,-1.87955442439759,1.04088994859085,4.61617671935003,-585
0.104,-1.78005057315129,1.44817236466056,5.26578324074281,-584.4
0.108,-1.59276888160366,1.85978391085511,5.99570890528052,-583.8
0.112,-1.31329475236146,2.25962332929612,6.83064069687944,-583.2
0.116,-0.940269491492199,2.62970028810593,7.7994303218954,-582.6
0.12,-0.475883845913449,2.95065708302148,8.93284265638621,-582
0.124,0.0737863996988239,3.20239253586213,10.260762386526,-581.4
0.128,0.69854549631749,3.36473073060484,11.809378699902,-580.8
0.132,1.38392106971633,3.4182190674816,13.5994591204996,-580.2
0.136,2.11118283047123,3.34503807240771,15.6463726495336,-579.6
0.14,2.8575483550571,3.1299277140769,17.9620300968362,-579
0.144,3.59654001765284,2.76113941385168,20.5589909613035,-578.4
0.148,4.29854340111797,2.23140070751111,23.4566244887759,-577.8
0.152,4.93156574683246,1.53878854312934,26.6882108957973,-577.2
0.156,5.4621227647149,0.687501856401385,30.3074438993721,-576.6
0.16,5.85629426694645,-0.311448246372365,34.3931825512383,-576
0.164,6.08098536315694,-1.43976056775229,39.0512934793834,-575.4
0.168,6.10526542835397,-2.67166013615546,44.4120338337764,-574.8
0.172,5.90171986961347,-3.97393159594565,50.6224297486455,-574.2
0.176,5.44789315434531,-5.30620212169443,57.835320777437,-573.6
0.18,4.72776562735828,-6.62161362484047,66.1975348239035,-573
0.184,3.73310381988382,-7.86785682962759,75.8392352215487,-572.4
0.188,2.46467716677097,-8.98848184215302,86.8674393631168,-571.8
0.192,0.933353224919846,-9.92453642746394,99.3675715425271,-571.2
0.196,-0.839051114628611,-10.6165353977703,113.414830625069,-570.6
0.2,-2.8192287996796,-11.0066538092505,129.094479101631,-570
0.204,-4.96214927350713,-11.0411123091562,146.529086435969,-569.4
0.208,-7.21122774904908,-10.6727156626879,165.90866526524,-568.8
0.212,-9.49895699553114,-9.86338692452071,187.516585625756,-568.2
0.216,-11.7479469473878,-8.58661869025749,211.744278010518,-567.6
0.22,-13.8724226379304,-6.82983057187672,239.090695485905,-567
0.224,-15.7802776535682,-4.59646215719046,270.144627186189,-566.4
0.228,-17.3755940446339,-1.90762444836229,305.550299439907,-565.8
0.232,-18.5615335960993,1.19668931273208,345.96259475033,-565.2
0.236,-19.2436512156094,4.65689110023319,392.004746827457,-564.6
0.24,-19.3335782165521,8.3937587751318,444.242433030641,-564
0.244,-18.7528973477613,12.3091116440341,503.185388400968,-563.4
0.248,-17.4371294024045,16.2871792663867,569.325690251614,-562.8
0.252,-15.3397410124046,20.1967352712074,643.215769942879,-562.2
0.256,-12.435965600745,23.8939899208716,725.575994761627,-561.6
0.26,-8.72630110256845,27.2261485248807,817.41149443155,-561
0.264,-4.23957396543795,30.0356410255669,920.113719225135,-560.4
0.268,0.964683081108878,32.1649751430548,1035.51623940031,-559.8
0.272,6.79473077348347,33.4620036039854,1165.87405147725,-559.2
0.276,13.1260466812814,33.7854878405325,1313.75229010195,-558.6
0.28,19.8018307501113,33.0109141103377,1481.83295145615,-558
0.284,26.6347955496402,31.0363430166353,1672.66692181738,-557.4
0.288,33.4102525268464,27.788051262242,1888.42076686063,-556.8
0.292,39.8904809625967,23.2258532335492,2130.69072985366,-556.2
0.296,45.8204314749353,17.3479128961578,2400.46202240192,-555.6
0.3,50.9346717602094,10.1947982323579,2698.27469831876,-555
0.304,54.9654081561652,1.85264696040195,3024.62839453372,-554.4
0.308,57.6514756834042,-7.5447303380259,3380.61560434768,-553.8
0.312,58.7480489779308,-17.8150617576473,3768.70968414214,-553.2
0.316,58.0367024016876,-28.7282353575719,4193.57033242209,-552.6
0.32,55.3355634589379,-40.0083816158954,4662.69518284126,-552
0.324,50.5092659881067,-51.3376041325117,5186.7355487238,-551.4
0.328,43.4782322317385,-62.361443251009,5779.3062823458,-550.8
0.332,34.2268921279143,-72.6959981884499,6456.18829735099,-550.2
0.336,22.8105425934112,-81.9367061361643,7233.94466584997,-549.6
0.34,9.36044984413564,-89.6687414673191,8128.10121761749,-549
0.344,-5.91314302204296,-95.4788304429252,9151.172323148,-548.4
0.348,-22.7203001818485,-98.9683007678304,10310.936597225,-547.8
0.352,-40.6932172577839,-99.767157782886,11609.4237028645,-547.2
0.356,-59.3907637438582,-97.5487732838123,13043.0259872554,-546.6
0.36,-78.3056930322786,-92.0447753874284,14604.0222373876,-546
0.364,-96.8744760449892,-83.0597926725634,16283.5932678004,-545.4
0.368,-114.489728785615,-70.4855182195069,18076.1062760761,-544.8
0.372,-130.514971685707,-54.3134806019374,19984.112009218,-544.2
0.376,-144.301369030598,-34.6460290226972,22023.2324311464,-543.6
0.38,-155.206145360033,-11.7049762174187,24225.9540257701,-543
0.384,-162.612225403939,14.1627121413201,26643.3182660193,-542.4
0.388,-165.948559598596,42.4826370246264,29343.698881415,-541.8
0.392,-164.710680793462,72.6545294534233,32408.2890175442,-541.2
0.396,-158.480929340909,103.9581085884,35923.4933060358,-540.6
0.4,-146.947684711661,135.563435062886,39971.0669681671,-540
0.404,-129.923096990841,166.545798937415,44617.5142753935,-539.4
