Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0.284,3.77392698607854e-06,2.71954820512529e-06,2.16384673362521e-11,-158.3016
0.288,2.25215515416779e-06,-1.56469688948077e-06,7.52047919439532e-12,-160.3584
0.292,1.99946418727078e-06,-2.13221828012611e-06,8.54421183028238e-12,-162.4104
0.296,-2.33047062135123e-06,-4.5842917215984e-06,2.64468239056968e-11,-164.4576
0.3,-6.00633908678105e-06,2.06177489926128e-06,4.03270249606177e-11,-166.5
0.304,5.417854295901e-08,7.56954698233754e-06,5.73009768323325e-11,-168.5376
0.308,8.42160984513705e-06,3.35474326610497e-07,7.10360554075241e-11,-170.5704
0.312,2.21485358921259e-06,-8.28143234510456e-06,7.34876981081919e-11,-172.5984
0.316,-7.48419312497172e-06,-2.79969066148936e-06,6.38514145319047e-11,-174.6216
0.32,-3.71579362567786e-06,6.40825730415194e-06,5.48728839448449e-11,-176.64
0.324,3.76807219508971e-06,3.14028652121246e-06,2.40597675027169e-11,-178.6536
0.328,3.55992178235034e-06,-1.18937119617365e-06,1.40876469387399e-11,-180.6624
0.332,9.14131011633223e-07,-2.78776830537601e-06,8.60728763088862e-12,-182.6664
0.336,-1.0362446891798e-06,-3.29054885420024e-06,1.19015148177318e-11,-184.6656
0.34,-5.41625568681682e-06,-6.23152202352759e-08,2.93397088516485e-11,-186.66
0.344,-1.88116476335965e-06,6.56129125134331e-06,4.65893237518602e-11,-188.6496
0.348,6.6694362227068e-06,3.57114179106713e-06,5.72344332206596e-11,-190.6344
0.352,5.4333210936238e-06,-7.72058832466438e-06,8.91284621853613e-11,-192.6144
0.356,-6.30644973948097e-06,-4.53396016433695e-06,6.03281030883939e-11,-194.5896
0.36,-5.34436716227346e-06,3.77883441223617e-06,4.28418498802871e-11,-196.56
0.364,1.71203771128757e-06,5.9901646469947e-06,3.88131456229759e-11,-198.5256
0.368,4.76522454968798e-06,-1.48441657414686e-06,2.49108575745509e-11,-200.4864
0.372,1.04076161554327e-06,-1.13647136258481e-06,2.37475189836361e-12,-202.4424
0.376,6.33871867259752e-07,-4.70414074841386e-06,2.25307337249911e-11,-204.3936
0.38,-5.34604515099471e-06,-8.59979420033546e-07,2.93197633593552e-11,-206.34
0.384,-3.64374608462817e-06,4.56187365489688e-06,3.40875767724853e-11,-208.2816
0.388,4.41881222737645e-06,6.61832830108644e-06,6.33281710017734e-11,-210.2184
0.392,7.63345369564258e-06,-5.6799241582342e-06,9.05311537668118e-11,-212.1504
0.396,-3.42770042261542e-06,-6.31780762053012e-06,5.16638233172264e-11,-214.0776
0.4,-6.49822611390264e-06,1.31929953411813e-06,4.39674938881305e-11,-216
0.404,-3.05504312434845e-07,5.66027174204921e-06,3.21320090787571e-11,-217.9176
0.408,3.17294182327137e-06,1.11989542838135e-06,1.13217255843741e-11,-219.8304
0.412,3.03857983853031e-06,-3.10505902166123e-07,9.32938135040289e-12,-221.7384
0.416,1.74883905549226e-06,-4.07778245646717e-06,1.96867478042865e-11,-223.6416
0.42,-3.23342085827451e-06,-4.14517917356311e-06,2.7637520827666e-11,-225.54
0.424,-7.05029628927308e-06,3.50009607919937e-06,6.19573503301645e-11,-227.4336
0.428,2.85075085087537e-06,7.8440815454601e-06,6.96563957055944e-11,-229.3224
0.432,7.42174363284372e-06,-1.96315823033416e-06,5.89362687889851e-11,-231.2064
0.436,8.87969007777172e-07,-6.85931718522896e-06,4.78387212063501e-11,-233.0856
0.44,-6.20305397475087e-06,-1.45947665242107e-06,4.06079507126347e-11,-234.96
0.444,-1.95753715110328e-06,3.59455678346222e-06,1.67527901674838e-11,-236.8296
0.448,1.5538391838772e-08,2.55898788801328e-06,6.54866045261963e-12,-238.6944
0.452,3.26985451885142e-06,2.80728715416572e-06,1.85728097403969e-11,-240.5544
0.456,4.75272221137025e-06,-3.16732707896992e-06,3.26203292436282e-11,-242.4096
0.46,-1.24987893327643e-06,-6.5578446224181e-06,4.45675234396262e-11,-244.26
0.464,-8.00270684847371e-06,4.74529452007941e-07,6.4268495103431e-11,-246.1056
0.468,-1.16681119180265e-06,8.20675522147992e-06,6.87122796226038e-11,-247.9464
0.472,6.95811260730349e-06,1.53474266493193e-06,5.07707661034781e-11,-249.7824
0.476,2.88662864311455e-06,-4.82289342268476e-06,3.15929258898253e-11,-251.6136
0.48,-2.08806978107417e-06,-3.08692849682673e-06,1.38891629551561e-11,-253.44
0.484,-3.15412807775729e-06,-7.39893204977823e-07,1.04959658856693e-11,-255.2616
0.488,-3.29478826223362e-06,2.53839830841483e-06,1.72990956651157e-11,-257.0784
0.492,7.57775350065927e-07,5.59686643451589e-06,3.18991373669781e-11,-258.8904
0.496,7.29426855556366e-06,3.60169306134806e-07,5.33360756897663e-11,-260.6976
0.5,2.06738911677018e-06,-8.19720621681309e-06,7.14682875210989e-11,-262.5
0.504,-7.14881006921643e-06,-2.31509088478355e-06,5.64651312105382e-11,-264.2976
0.508,-3.8254403414919e-06,5.26062868116718e-06,4.23082079274324e-11,-266.0904
0.512,2.90457334151809e-06,4.07085052793323e-06,2.50083703170318e-11,-267.8784
0.516,3.71937294139686e-06,-6.79762286072784e-07,1.4295811842762e-11,-269.6616
0.52,2.13136121640797e-06,-2.12813716787066e-06,9.07166844008062e-12,-271.44
0.524,-3.12058124988535e-07,-5.11334878166153e-06,2.62437160362909e-11,-273.2136
0.528,-6.77690219427732e-06,-6.41208180370707e-07,4.6337551281375e-11,-274.9824
0.532,-2.57164746108847e-06,7.3553240243856e-06,6.07141621678268e-11,-276.7464
0.536,6.40881385664858e-06,3.59814962898559e-06,5.40195758017399e-11,-278.5056
0.54,5.15167592850641e-06,-5.41470741038163e-06,5.58588212123941e-11,-280.26
0.544,-3.31782088262121e-06,-4.7000230692018e-06,3.30981522601864e-11,-282.0096
0.548,-3.85463461164472e-06,9.05132103739323e-07,1.5677472114509e-11,-283.7544
0.552,-2.1106673277249e-06,2.14723498493686e-06,9.06553464886217e-12,-285.4944
0.556,3.65018716643759e-07,4.78948288091358e-06,2.30723849300645e-11,-287.2296
0.56,5.98293029101032e-06,1.06646367247433e-06,3.69327996317963e-11,-288.96
0.564,3.49231805060916e-06,-6.49670088706252e-06,5.44034077825695e-11,-290.6856
0.568,-5.76836955412049e-06,-4.85593327973234e-06,5.68541753301163e-11,-292.4064
0.572,-6.0017406475892e-06,5.17864722781157e-06,6.28392779110448e-11,-294.1224
0.576,2.87789770132799e-06,4.96331860868465e-06,3.29168267906242e-11,-295.8336
0.58,3.89132448453955e-06,-2.02431134769086e-07,1.51833846083009e-11,-297.54
0.584,2.594137706318e-06,-2.28022222106068e-06,1.19289638167597e-11,-299.2416
0.588,-2.1819707228075e-07,-4.51780303094095e-06,2.04581541887311e-11,-300.9384
0.592,-5.25014047526104e-06,-2.01600284328522e-06,3.16282424741083e-11,-302.6304
0.596,-4.73990925770687e-06,5.97454164511668e-06,5.81618876405288e-11,-304.3176
0.6,5.26945242251103e-06,5.75236711080372e-06,6.08568562105637e-11,-306
0.604,6.24019234756194e-06,-4.33706302372285e-06,5.77501162063146e-11,-307.6776
0.608,-1.58337458635556e-06,-5.05392938816307e-06,2.8049277341255e-11,-309.3504
0.612,-3.93079253044119e-06,-9.08143533012083e-07,1.62758545939239e-11,-311.0184
0.616,-2.99790901725013e-06,2.02108934626228e-06,1.30722606212845e-11,-312.6816
0.62,-7.55660361885636e-07,4.35711287074564e-06,1.95554551509425e-11,-314.34
0.624,4.94539718677123e-06,3.47799144681028e-06,3.65533778390102e-11,-315.9936
0.628,5.81880871384979e-06,-5.69855245413988e-06,6.63320349209579e-11,-317.6424
0.632,-4.38531022271167e-06,-6.12800713545033e-06,5.67834172015497e-11,-319.2864
0.636,-6.22106594052852e-06,2.72677020780104e-06,4.61369372025554e-11,-320.9256
0.64,-3.23972956374408e-08,5.13796007757542e-06,2.63996833435234e-11,-322.56
0.644,3.51768763431826e-06,1.81201748541694e-06,1.56575336600924e-11,-324.1896
0.648,3.28467583399657e-06,-7.29822879027079e-07,1.13217367691924e-11,-325.8144
0.652,2.53598069908696e-06,-4.64770086134866e-06,2.80323214027227e-11,-327.4344
0.656,-4.93112340307705e-06,-4.82583300624133e-06,4.76046422205025e-11,-329.0496
0.66,-6.40901222423566e-06,4.92035109732534e-06,6.52852926113528e-11,-330.66
0.664,2.72956897418473e-06,6.38131694172929e-06,4.81717526956331e-11,-332.2656
0.668,6.19112978440943e-06,-8.94779588435891e-07,3.91307185192831e-11,-333.8664
0.672,1.29580468863069e-06,-4.60742389453608e-06,2.29074647350193e-11,-335.4624
0.676,-1.94044113158013e-06,-2.61791800121794e-06,1.06188064462289e-11,-337.0536
0.68,-3.84710565867764e-06,-1.42221292252051e-06,1.68229115460138e-11,-338.64
0.684,-4.35706883652087e-06,5.08207581734044e-06,4.48115434593779e-11,-340.2216
0.688,4.36769611983789e-06,5.75758374339625e-06,5.22265399574677e-11,-341.7984
0.692,6.80769735212948e-06,-3.25450497136883e-06,5.69365458468551e-11,-343.3704
0.696,-7.814699493666e-07,-6.60279947461493e-06,4.42076561837382e-11,-344.9376
0.7,-5.51628240339893e-06,-5.66177956514318e-07,3.07499290324914e-11,-346.5
0.704,-2.26656051671542e-06,2.70353287399568e-06,1.24463865767086e-11,-348.0576
0.708,-6.8826787588633e-07,3.75328920241003e-06,1.45608925059048e-11,-349.6104
0.712,4.4665994256141e-06,3.54173297676758e-06,3.24943829076192e-11,-351.1584
0.716,5.69981839656816e-06,-4.65882665249982e-06,5.41925955318995e-11,-352.7016
0.72,-2.75201979796557e-06,-6.60623621874041e-06,5.1215969946192e-11,-354.24
0.724,-7.09183279712513e-06,1.32234955500401e-06,5.20427007679989e-11,-355.7736
0.728,-7.44107185312808e-07,5.85345519467385e-06,3.48166332192884e-11,-357.3024
0.732,3.2830071459355e-06,1.94068558022858e-06,1.45443964415707e-11,-358.8264
0.736,3.45572912218602e-06,2.25282746306978e-07,1.19928160817082e-11,-360.3456
0.74,3.31917405323742e-06,-4.72079919492222e-06,3.33028614344628e-11,-361.86
0.744,-4.08020128837711e-06,-5.23799230475896e-06,4.40846059383884e-11,-363.3696
0.748,-6.80968079919964e-06,3.04839391100137e-06,5.56644580236185e-11,-364.8744
0.752,7.91407367724813e-07,7.14127949021176e-06,5.16241983790082e-11,-366.3744
0.756,6.19125881539063e-06,3.00278169854125e-07,3.84218526984431e-11,-367.8696
0.76,2.09531818318286e-06,-3.27399740487887e-06,1.51094172959303e-11,-369.36
0.764,1.31482283223471e-07,-3.64278994727507e-06,1.328720619077e-11,-370.8456
0.768,-4.36134659045648e-06,-3.02766227551053e-06,2.81880829366359e-11,-372.3264
0.772,-5.39098046685947e-06,4.31886847915835e-06,4.77152953343278e-11,-373.8024
0.776,2.36966596813652e-06,6.74750203645988e-06,5.11441005325747e-11,-375.2736
0.78,7.3520261676551e-06,-1.14600961179914e-06,5.53656268002213e-11,-376.74
0.784,8.0248366738647e-07,-5.95242009162748e-06,3.60752849836325e-11,-378.2016
0.788,-3.17353776795314e-06,-2.10992169140767e-06,1.45231115084976e-11,-379.6584
0.792,-3.69165719453736e-06,-3.37195280306605e-07,1.37420334990405e-11,-381.1104
0.796,-3.35003432220467e-06,4.69722892451756e-06,3.32866895292737e-11,-382.5576
0.8,3.71721624722735e-06,5.35500034922889e-06,4.24937253688925e-11,-384
0.804,7.02782284417241e-06,-2.57281622735668e-06,5.60096772688215e-11,-385.4376
0.808,-4.13865696307581e-07,-7.21123594094417e-06,5.21732086105451e-11,-386.8704
0.812,-5.74996870242931e-06,-6.61475634283195e-07,3.3499690093667e-11,-388.2984
0.816,-2.52765640761917e-06,2.47951449161206e-06,1.25370390290924e-11,-389.7216
0.82,-9.06475058234091e-07,4.14185797158868e-06,1.79766844880132e-11,-391.14
0.824,4.42228739130644e-06,3.58431716051642e-06,3.24039552784803e-11,-392.5536
0.828,5.87096138921975e-06,-3.85373598729807e-06,4.93194686935054e-11,-393.9624
0.832,-1.72986304271721e-06,-7.08495189657817e-06,5.31889695233855e-11,-395.3664
0.836,-7.12568988909567e-06,6.07176886034829e-07,5.11441201664952e-11,-396.7656
0.84,-1.36486964736538e-06,4.91711413834875e-06,2.60408806038485e-11,-398.16
0.844,1.6558731602595e-06,2.99108757906904e-06,1.16885208285289e-11,-399.5496
0.848,4.27602148641719e-06,1.64004752343322e-06,2.09741156314209e-11,-400.9344
0.852,4.37226426746803e-06,-4.71282487364991e-06,4.13274131142711e-11,-402.3144
0.856,-3.10550724960474e-06,-6.15385083457152e-06,4.75140553715042e-11,-403.6896
0.86,-7.32389120792495e-06,1.79201981722787e-06,5.68507174508577e-11,-405.06
0.864,-3.0980860724064e-07,6.46570801616605e-06,4.19013615234343e-11,-406.4256
0.868,4.00084712603536e-06,1.67829295927206e-06,1.88234449830475e-11,-407.7864
0.872,3.54557988683113e-06,-4.28459232284088e-07,1.27547140476309e-11,-409.1424
0.876,2.78407745974292e-06,-4.8994776778115e-06,3.17559688172218e-11,-410.4936
0.88,-4.20501736088151e-06,-4.93365565175412e-06,4.20231290954002e-11,-411.84
0.884,-6.72674770540736e-06,3.04451264188348e-06,5.45181919187915e-11,-413.1816
0.888,7.74046586060216e-07,7.04318706271944e-06,5.020563211785e-11,-414.5184
0.892,5.72853808896014e-06,5.44963430781282e-07,3.3113133777556e-11,-415.8504
0.896,2.58274489404468e-06,-2.41494980406935e-06,1.25025537438884e-11,-417.1776
0.9,1.06635589617093e-06,-4.40686265048534e-06,2.05575533175412e-11,-418.5
0.904,-4.82428081996602e-06,-3.68319405162293e-06,3.68396038518025e-11,-419.8176
0.908,-5.88183818975566e-06,4.25371388928427e-06,5.26901023423581e-11,-421.1304
0.912,1.93923898304571e-06,6.82428318045402e-06,5.03314887603918e-11,-422.4384
0.916,6.60310654953846e-06,-4.73445187345408e-07,4.38251664499783e-11,-423.7416
0.92,1.65070209749178e-06,-4.13535766634096e-06,1.98260004432287e-11,-425.04
0.924,-7.0495826681204e-07,-3.59566506767609e-06,1.34257734368528e-11,-426.3336
0.928,-4.85794740923883e-06,-2.49501399495399e-06,2.98247478659465e-11,-427.6224
0.932,-4.99175091841693e-06,5.15397278689347e-06,5.14810127195547e-11,-428.9064
0.936,3.22994421572961e-06,6.18339170658624e-06,4.86668726338047e-11,-430.1856
0.94,6.80818985169555e-06,-1.49332318723205e-06,4.85814631982552e-11,-431.46
0.944,8.81116172203796e-07,-5.29118002687894e-06,2.87729517857617e-11,-432.7296
0.948,-2.30335645430296e-06,-2.70361835854166e-06,1.26150031842226e-11,-433.9944
0.952,-4.47185333822649e-06,-1.21918832461028e-06,2.14838924494734e-11,-435.2544
0.956,-4.13288745471793e-06,5.68622717388901e-06,4.94139381864387e-11,-436.5096
