TimeStep,Time_s,TotalProbability,MeanPosition_nm,KineticEnergy_eV,PotentialEnergy_eV,TotalEnergy_eV,Reflection,Transmission,InteractionProbability,CentralWellProbability
0,0,1,0.996,59.3689182395836,-2.82841261250234e-11,59.3689182395553,0.999999999999943,8.41549140678774e-40,4.3270054622877e-14,NaN
100,2.76415767589051e-18,1.00000024722366,1.00851308980767,59.3689356876966,-1.01439257375732e-10,59.3689356875952,1.00000024722349,7.99677217518763e-40,1.63404763323329e-13,NaN
200,5.52831535178101e-18,1.00000090181854,1.0210265790223,59.3689814362929,-2.12236891642979e-10,59.3689814360806,1.00000090181817,3.19684042862642e-39,3.46629313909462e-13,NaN
300,8.29247302767152e-18,1.0000017375897,1.03354023830962,59.3690385264949,-4.34360379019419e-10,59.3690385260606,1.00000173758894,1.30898052397968e-38,7.04935106518218e-13,NaN
400,1.1056630703562e-17,1.00000247844024,1.04605379227178,59.3690867614666,-9.40808080794348e-10,59.3690867605258,1.00000247843859,5.78135265341863e-38,1.52991776106016e-12,NaN
500,1.38207883794525e-17,1.00000290214589,1.05856702270584,59.3691107776501,-2.02233207737668e-09,59.3691107756277,1.00000290214234,2.63455439995266e-37,3.28427183960692e-12,NaN
600,1.6584946055343e-17,1.00000291491821,1.07107984145857,59.3691054639477,-4.43429185505466e-09,59.3691054595134,1.00000291491041,1.20471419341848e-36,7.20269591225087e-12,NaN
700,1.93491037312335e-17,1.00000256932227,1.08359230623256,59.3690766548691,-9.65739260713737e-09,59.3690766452117,1.00000256930537,4.77749357213596e-26,1.568963015943e-11,NaN
800,2.21132614071241e-17,1.00000202528404,1.09610457994502,59.3690373916428,-2.09909076950626e-08,59.3690373706519,1.00000202524723,1.58146789084011e-18,3.41056853372606e-11,NaN
900,2.48774190830146e-17,1.00000147781178,1.10861685782142,59.369001963151,-4.52954484480512e-08,59.3690019178555,1.0000014777323,3.81107352590277e-17,7.36263591157031e-11,NaN
1000,2.76415767589051e-17,1.00000108498988,1.12112929584209,59.3689805556411,-9.68828735498215e-08,59.3689804587582,1.00000108482053,9.96194523525414e-17,1.57521876341793e-10,NaN
1100,3.04057344347956e-17,1.00000092352376,1.13364196744608,59.3689765612542,-2.05356700688247e-07,59.3689763558975,1.00000092316451,2.20533100123572e-16,3.34028747687438e-10,NaN
1200,3.31698921106861e-17,1.00000098249825,1.14615485857887,59.3689870055253,-4.30605094769716e-07,59.3689865749202,1.00000098174464,4.63122938192986e-16,7.0067273140868e-10,NaN
1300,3.59340497865766e-17,1.00000118863483,1.15866789388204,59.3690052142013,-8.93259851294733e-07,59.3690043209414,1.00000118707591,9.74359709356442e-16,1.45408765627235e-09,NaN
1400,3.86982074624671e-17,1.0000014459088,1.17118097666276,59.3690242117581,-1.83134980457681e-06,59.3690223804083,1.00000144271337,2.13117069535528e-15,2.98237016196245e-09,NaN
1500,4.14623651383576e-17,1.00000167153495,1.1836940246716,59.3690392741529,-3.70976607867747e-06,59.3690355643868,1.00000166506123,5.00468027512132e-15,6.04385777409536e-09,NaN
