TimeStep,Time_s,TotalProbability,MeanPosition_nm,KineticEnergy_eV,PotentialEnergy_eV,TotalEnergy_eV,Reflection,Transmission,InteractionProbability,CentralWellProbability
0,0,1,0.996,59.3689182395836,-2.33719191148188e-16,59.3689182395836,1,3.52238999206102e-19,0,NaN
100,2.76415767589051e-18,1.00000024722367,1.00851308980767,59.3689356876261,-1.05098642206041e-15,59.3689356876261,1.00000024722366,1.67949205210985e-18,0,NaN
200,5.52831535178101e-18,1.00000090181854,1.0210265790223,59.3689814361125,-2.6563460341298e-15,59.3689814361125,1.00000090181854,4.31351020327472e-18,0,NaN
300,8.29247302767152e-18,1.00000173758971,1.03354023830961,59.369038526082,-6.42749668675593e-15,59.369038526082,1.00000173758971,1.03722464452603e-17,0,NaN
400,1.1056630703562e-17,1.00000247844026,1.04605379227178,59.3690867605737,-1.66218097849942e-14,59.3690867605737,1.00000247844025,2.68571145071472e-17,0,NaN
500,1.38207883794525e-17,1.00000290214591,1.05856702270581,59.3691107756638,-4.27190722147965e-14,59.3691107756638,1.00000290214591,6.89768832620584e-17,0,NaN
600,1.6584946055343e-17,1.00000291491822,1.07107984145842,59.3691054594772,-1.11422332721528e-13,59.3691054594771,1.00000291491822,1.79889746837506e-16,0,NaN
700,1.93491037312335e-17,1.00000256932227,1.08359230623219,59.3690766454418,-2.89742682401057e-13,59.3690766454415,1.00000256932227,4.67923445293688e-16,0,NaN
800,2.21132614071241e-17,1.00000202528375,1.09610457994371,59.3690373706681,-7.50804069378781e-13,59.3690373706673,1.00000202528375,1.21261444287211e-15,0,NaN
900,2.48774190830146e-17,1.00000147781066,1.10861685781772,59.3690019172942,-1.93559460980947e-12,59.3690019172922,1.00000147781066,3.12720631796024e-15,0,NaN
1000,2.76415767589051e-17,1.00000108498757,1.1211292958343,59.3689804599966,-4.95199982644745e-12,59.3689804599916,1.00000108498756,8.00280203771888e-15,0,NaN
1100,3.04057344347956e-17,1.0000009235184,1.1336419674289,59.3689763554759,-1.25710613357585e-11,59.3689763554633,1.00000092351838,2.03228640908044e-14,0,NaN
1200,3.31698921106861e-17,1.00000098248879,1.14615485854583,59.3689865696075,-3.16202104995373e-11,59.3689865695759,1.00000098248874,5.11374478950495e-14,0,NaN
1300,3.59340497865766e-17,1.00000118862777,1.15866789383481,59.3690043248207,-7.87646968348121e-11,59.3690043247419,1.00000118862763,1.27431586835883e-13,0,NaN
1400,3.86982074624671e-17,1.00000144591576,1.17118097660289,59.3690223803364,-1.94142634278386e-10,59.3690223801422,1.00000144591542,3.14232003389408e-13,0,NaN
1500,4.14623651383576e-17,1.00000167158823,1.18369402461612,59.369035539315,-4.73201764393461e-10,59.3690355388418,1.00000167158739,7.66241075392777e-13,0,NaN
1600,4.42265228142481e-17,1.00000181709587,1.19620699054042,59.369041691466,-1.13984488841293e-09,59.3690416903261,1.00000181709386,1.8465514780167e-12,0,NaN
1700,4.69906804901386e-17,1.000001871563,1.20871986483362,59.3690414779884,-2.71179973357663e-09,59.3690414752766,1.00000187155822,4.39513643481735e-12,0,NaN
1800,4.97548381660291e-17,1.0000018523321,1.22123266587586,59.3690371568299,-6.36877284006568e-09,59.3690371504611,1.00000185232088,1.03269311449601e-11,0,NaN
1900,5.25189958419196e-17,1.00000179014426,1.23374542496721,59.3690313428426,-1.47576859361623e-08,59.3690313280849,1.00000179011831,2.39405922567057e-11,0,NaN
2000,5.52831535178101e-17,1.00000171565659,1.24625817286788,59.369026099174,-3.37244896149955e-08,59.3690260654495,1.00000171559731,5.4734821856009e-11,0,NaN
2100,5.80473111937006e-17,1.00000165105534,1.25877093155582,59.3690225517199,-7.59707991950746e-08,59.3690224757491,1.00000165092194,1.2335844453155e-10,0,NaN
2200,6.08114688695911e-17,1.00000160738668,1.27128371173348,59.3690209514825,-1.68633745008822e-07,59.3690207828488,1.00000160709092,2.73952350225122e-10,0,NaN
2300,6.35756265454816e-17,1.00000158612325,1.2837965145385,59.369020991329,-3.68698613093008e-07,59.3690206226304,1.00000158547727,5.99263305840038e-10,0,NaN
2400,6.63397842213721e-17,1.00000158274859,1.29630933521342,59.3690221841149,-7.93727981900216e-07,59.3690213903869,1.00000158135939,1.29075187406764e-09,0,NaN
2500,6.91039418972627e-17,1.00000159045495,1.30882216683317,59.3690241895196,-1.68191124466194e-06,59.3690225076083,1.00000158751472,2.73658420360053e-09,0,NaN
2600,7.18680995731532e-17,1.00000160284527,1.32133500299926,59.3690270744591,-3.50703444972053e-06,59.3690235674246,1.00000159672166,5.7093790194796e-09,0,NaN
2700,7.46322572490437e-17,1.00000161531544,1.33384783919126,59.3690315597701,-7.19411404811494e-06,59.3690243656561,1.00000160276801,1.17185575584326e-08,0,NaN
2800,7.73964149249342e-17,1.00000162531343,1.34636067297629,59.3690393729115,-1.45154596580548e-05,59.3690248574519,1.00000160002535,2.3657902889177e-08,0,NaN
2900,8.01605726008247e-17,1.00000163188851,1.3588735034895,59.3690538959063,-2.88029709788544e-05,59.3690250929353,1.000001581765,4.69707828899598e-08,0,NaN
3000,8.29247302767152e-17,1.00000163494964,1.37138633062771,59.3690813453465,-5.62019564254453e-05,59.3690251433901,1.00000153725074,9.1702462988235e-08,0,NaN
3100,8.56888879526057e-17,1.00000163461427,1.38389915444658,59.3691328538744,-0.00010783030128699,59.3690250235731,1.00000144736735,1.76036756456331e-07,0,NaN
3200,8.84530456284962e-17,1.00000163103847,1.39641197541341,59.3692280782987,-0.000203414139852098,59.3690246641589,1.00000127819294,3.32256119709563e-07,0,NaN
3300,9.12172033043867e-17,1.00000162509352,1.40892479623907,59.369401235168,-0.000377270602044009,59.3690239645659,1.00000097139676,6.16558517854613e-07,0,NaN
3400,9.39813609802772e-17,1.00000161995224,1.42143762551608,59.3697108795533,-0.000687926091725653,59.3690229534615,1.00000042933372,1.12485474274619e-06,0,NaN
3500,9.67455186561677e-17,1.0000016227333,1.43395048169517,59.3702553280094,-0.00123322081475642,59.3690221071947,0.999999490814782,2.017597685139e-06,0,NaN
3600,9.95096763320582e-17,1.00000164377353,1.44646339299044,59.3711961191414,-0.0021734810940423,59.3690226380474,0.999997890720461,3.55789913824086e-06,0,NaN
3700,1.02273834007949e-16,1.00000168991858,1.458976386662,59.3727925025553,-0.00376625093065127,59.3690262516246,0.999995193914529,6.16868843192996e-06,0,NaN
3800,1.05037991683839e-16,1.00000174984734,1.47148946438263,59.3754510205076,-0.00641714540922097,59.3690338750984,0.999990693730759,1.05164380044644e-05,0,NaN
3900,1.0780214935973e-16,1.00000177635549,1.48400257377437,59.3797957992659,-0.0107525480274122,59.3690432512384,0.999983270339529,1.76309180630402e-05,0,NaN
4000,1.1056630703562e-16,1.00000168213786,1.49651560848351,59.3867674756833,-0.0177209719550965,59.3690465037282,0.999971214186779,2.90723125474766e-05,0,NaN
4100,1.13330464711511e-16,1.0000013742108,1.50902848548935,59.3977613483894,-0.0287307169935992,59.3690306313958,0.99995202698664,4.71584560113532e-05,0,NaN
4200,1.16094622387401e-16,1.00000084266164,1.5215413300502,59.4148160830905,-0.045831721321141,59.3689843617694,0.999922202829127,7.52654678733865e-05,0,NaN
4300,1.18858780063292e-16,1.00000027923636,1.53405472189949,59.4408608999363,-0.0719490386232067,59.3689118613131,0.999876952412984,0.000118214277494502,0,NaN
4400,1.21622937739182e-16,1.00000013852959,1.54656983711729,59.480021082711,-0.111174040852307,59.3688470418587,0.999809772619752,0.000182753186788688,0,NaN
4500,1.24387095415073e-16,1.00000101281139,1.55908824220229,59.537971557419,-0.169117182046942,59.3688543753721,0.999711725743075,0.000278142650826608,0,NaN
4600,1.27151253090963e-16,1.00000323888888,1.57161118976724,59.6223238102971,-0.253322772185066,59.369001038112,0.99957034637433,0.000416842754338635,0,NaN
4700,1.29915410766854e-16,1.00000633336045,1.58413860637712,59.7430400420822,-0.373741108366659,59.3692989337155,0.99936828172413,0.000615295723536618,0,NaN
4800,1.32679568442744e-16,1.00000860575771,1.59666844399374,59.9128886509975,-0.543246002785559,59.369642648212,0.999082037874451,0.000894784480894084,0,NaN
4900,1.35443726118635e-16,1.00000744724558,1.60919734202112,60.1479711995232,-0.778175838433528,59.3697953610897,0.998681369412613,0.00128233272841254,0,NaN
5000,1.38207883794525e-16,1.0000006099871,1.62172318841486,60.4683382077145,-1.09886503434315,59.3694731733714,0.998129684071979,0.00181159360095792,0,NaN
5100,1.40972041470416e-16,0.99998819331541,1.63424901906846,60.8986525577333,-1.53012252702397,59.3685300307093,0.997385248316571,0.00252365570344744,0,NaN
5200,1.43736199146306e-16,0.999974271827642,1.64678621000471,61.4687704621102,-2.10160790239543,59.3671625597147,0.996402205109673,0.00346768286950087,0,NaN
5300,1.46500356822197e-16,0.999966684568148,1.65935414357301,62.2140437913809,-2.84805631307086,59.36598747831,0.995129998193431,0.00470130219720921,0,NaN
5400,1.49264514498087e-16,0.999974015002452,1.67197453046969,63.17516812638,-3.80930924183642,59.3658588845436,0.993510303102023,0.00629066412205395,0,NaN
5500,1.52028672173978e-16,1.00000033062421,1.68466151951184,64.3975359065397,-5.0301163709969,59.3674195355428,0.991472099382291,0.00831011464427647,0,NaN
5600,1.54792829849868e-16,1.00004014803983,1.69741232775835,65.9302525174706,-6.55967995446622,59.3705725630043,0.988927412000212,0.010841435437522,0,NaN
5700,1.57556987525759e-16,1.00007709066121,1.7102049800788,67.8251150985648,-8.45091616411612,59.3741989344486,0.985771244369275,0.013972617552026,0,NaN
5800,1.60321145201649e-16,1.00008871406102,1.7230077886081,70.1358200833475,-10.7594123118757,59.3764077714717,0.981888213531132,0.0177961421797356,0,NaN
5900,1.6308530287754e-16,1.00005693322271,1.73579936535058,72.9174282243315,-13.542071836651,59.3753563876806,0.977165317428689,0.0224067575223373,0,NaN
6000,1.6584946055343e-16,0.999979767115482,1.74859089748108,76.2257878298359,-16.8554659733654,59.3703218564705,0.971506487289981,0.027898775475024,0,NaN
6100,1.68613618229321e-16,0.999877960373874,1.76143840275183,80.116406857538,-20.7539504434257,59.3624564141123,0.964842358908801,0.0343629686989045,0,NaN
6200,1.71377775905211e-16,0.999791242264307,1.77443509850956,84.6423504213604,-25.2876465783745,59.354703842986,0.957129848216763,0.0418832160298104,0,NaN
